District,SCRN,School English Name,School Chinese Name,K1 Vacancy Status,K2 Vacancy Status,K3 Vacancy Status,As At Date
KOWLOON CITY,315907-0001,CHRISTIAN YOUTH CENTRE KINDERGARTEN,基督教中心幼稚園,Y,Y,Y,17/03/2026
KOWLOON CITY,323926-0001,CREATIVE KINDERGARTEN,啓思幼稚園,Y,Y,Y,17/03/2026
KOWLOON CITY,564567-0001,"ELCHK, MA TAU WAI NURSERY SCHOOL",基督教香港信義會馬頭圍幼兒學校,Y,Y,Y,17/03/2026
KOWLOON CITY,133779-0001,FIRST ASSEMBLY OF GOD KG,神召第一幼稚園,Y,Y,Y,17/03/2026
KOWLOON CITY,132870-0001,HEEP YUNN SCHOOL PRIVATE KINDERGARTEN,協恩中學附屬幼稚園,N,N,N,17/03/2026
KOWLOON CITY,565229-0001,HKSPC MA TAU CHUNG NURSERY SCHOOL,香港保護兒童會馬頭涌幼兒學校,Y,Y,Y,17/03/2026
KOWLOON CITY,565288-0001,HKSPC SIA WHAMPOA NURSERY SCHOOL,香港保護兒童會新航黃埔幼兒學校,Y,Y,Y,17/03/2026
KOWLOON CITY,616001-0001,HKVNS ALUMNI ASSOCIATION KG (KCC),漢師幼稚園（龍總）,Y,Y,Y,17/03/2026
KOWLOON CITY,564869-0001,HO OI DAY NURSERY (SIK SIK YUEN),嗇色園主辦可愛幼兒園,Y,Y,Y,17/03/2026
KOWLOON CITY,325180-0001,HOLY TRINITY CENTRE KINDERGARTEN,聖三一中心幼稚園,N,N,Y,17/03/2026
KOWLOON CITY,536024-0001,HOMANTIN BAPTIST CHURCH KINDERGARTEN,何文田浸信會幼稚園,Y,Y,Y,17/03/2026
KOWLOON CITY,565016-0001,HOMANTIN YANG MEMORIAL METHODIST PRE-SCH,何文田循道衛理楊震幼兒學校,Y,Y,Y,17/03/2026
KOWLOON CITY,325856-0001,HONG KONG SOKA KINDERGARTEN,香港創價幼稚園,N,N,N,17/03/2026
KOWLOON CITY,617741-0001,IMPERIAL CHILDREN KINDERGARTEN,茵晴幼稚園,Y,Y,Y,17/03/2026
KOWLOON CITY,324930-0002,KOWLOON CANNAN ANGLO-CHINESE KG,九龍迦南中英文幼稚園,Y,Y,Y,17/03/2026
KOWLOON CITY,324078-0001,KOWLOON CITY BAPTIST CHURCH KINDERGARTEN,九龍城浸信會幼稚園,Y,Y,Y,17/03/2026
KOWLOON CITY,564524-0001,KOWLOON LING LIANG CHURCH DAY NURSERY,九龍靈糧堂幼兒園,P,P,P,17/03/2026
KOWLOON CITY,324680-0001,KOWLOON LING LIANG CHURCH KINDERGARTEN,九龍靈糧堂幼稚園,Y,Y,Y,17/03/2026
KOWLOON CITY,565695-0001,MARTHA BOSS LUTHERAN DAY NURSERY,路德會包美達幼兒園,N,Y,Y,17/03/2026
KOWLOON CITY,325040-0001,MAY NGA KINDERGARTEN,美雅幼稚園,Y,P,P,17/03/2026
KOWLOON CITY,325775-0001,MAY NGA KINDERGARTEN (BRANCH),美雅幼稚園（分校）,Y,Y,Y,17/03/2026
KOWLOON CITY,565687-0001,MAY NGA NURSERY,美雅幼兒園,P,N,N,17/03/2026
KOWLOON CITY,566691-0001,PLK CHAN LAI WAI LIN KINDERGARTEN,保良局陳黎惠蓮幼稚園,Y,Y,Y,17/03/2026
KOWLOON CITY,563927-0001,PLK LAM TING LAI LING KINDERGARTEN,保良局林丁麗玲幼稚園,P,P,P,17/03/2026
KOWLOON CITY,325988-0001,PLK LI TSUI CHUNG SING MEMORIAL KG,保良局李徐松聲紀念幼稚園,Y,Y,Y,17/03/2026
KOWLOON CITY,539104-0001,PLK TAM AU-YEUNG SIU FONG MEMORIAL KG,保良局譚歐陽少芳紀念幼稚園,P,P,P,17/03/2026
KOWLOON CITY,563803-0001,PO LEUNG KUK LUI CHAN WAI CHING KG,保良局呂陳慧貞幼稚園,Y,Y,Y,17/03/2026
KOWLOON CITY,564001-0001,POK OI HOSPITAL MRS. YAM WING YIN KG,博愛醫院任永賢夫人幼稚園,N,N,N,17/03/2026
KOWLOON CITY,324477-0001,POOI TO PRIMARY SCHOOL,香港培道小學,N,N,N,17/03/2026
KOWLOON CITY,563064-0001,SA LOK MAN NURSERY SCH,救世軍樂民幼兒學校,Y,Y,Y,17/03/2026
KOWLOON CITY,325600-0001,SKH HOLY TRINITY CH TSANG SHIU TIM KG,聖公會聖三一堂曾肇添幼稚園,Y,Y,Y,17/03/2026
KOWLOON CITY,324647-0001,ST MARK'S CHURCH BRADBURY KINDERGARTEN,聖馬可堂白普理幼稚園,P,P,P,17/03/2026
KOWLOON CITY,537349-0001,ST MONICA'S KINDERGARTEN,聖文嘉幼稚園,Y,Y,Y,17/03/2026
KOWLOON CITY,312479-0001,ST ROSE OF LIMA'S KINDERGARTEN,聖羅撒幼稚園,P,P,Y,17/03/2026
KOWLOON CITY,523526-0002,SUN ISLAND ENGLISH KG (LOK MAN),太陽島英文幼稚園﹝樂民﹞,Y,Y,Y,17/03/2026
KOWLOON CITY,215678-0001,SUN ISLAND ENGLISH KINDERGARTEN,太陽島英文幼稚園,Y,Y,Y,17/03/2026
KOWLOON CITY,563781-0001,TSUNG TSIN MISSION OF HK ON KEI NUR SCH,基督教香港崇真會安基幼兒學校,Y,Y,Y,17/03/2026
KOWLOON CITY,563579-0001,TWGHS LO WONG PIK SHAN NURSERY SCH,東華三院羅黃碧珊幼兒園,Y,Y,Y,17/03/2026
KOWLOON CITY,610771-0001,WILLIAM (SMART) KINDERGARTEN (WHAMPOA),威廉（睿智）幼稚園（黃埔）,Y,Y,Y,17/03/2026
KOWLOON CITY,599700-0001,YMCA OF HK CHRISTIAN KG (KAI CHING),港青基信幼稚園（啟晴）,Y,Y,Y,17/03/2026
KOWLOON CITY,565520-0001,YMCA OF HK CHRISTIAN NUR SCH (FARM ROAD),港青基信幼兒學校（農圃道）,N,N,N,17/03/2026
WONG TAI SIN,316504-0001,A-ONE KINDERGARTEN,第一幼稚園,Y,Y,Y,17/03/2026
WONG TAI SIN,563463-0001,BGCAHK CHEERLAND KG (WONG TAI SIN),香港小童群益會樂緻幼稚園（黃大仙）,Y,Y,Y,17/03/2026
WONG TAI SIN,325678-0001,BUDDHIST FOO HONG KINDERGARTEN,佛教傅康幼稚園,Y,Y,Y,17/03/2026
WONG TAI SIN,565873-0001,C & MA FU SHAN NURSERY SCH,基督教宣道會富山幼兒學校,Y,Y,Y,17/03/2026
WONG TAI SIN,323268-0001,CHRISTIAN EVANGELICAL CENTRE LOK FU KG,基督教佈道中心樂富幼稚園,Y,Y,Y,17/03/2026
WONG TAI SIN,530379-0001,DIAMOND HILL LING LIANG KINDERGARTEN,鑽石山靈糧幼稚園,Y,Y,Y,17/03/2026
WONG TAI SIN,549169-0001,ECFB CREATIVITY KINDERGARTEN,基督教中國佈道會恩恩創意幼稚園,Y,Y,Y,17/03/2026
WONG TAI SIN,564303-0001,FIVE DIS B W ASSN CHEUNG CHUK SHAN KG,五邑工商總會張祝珊幼稚園,Y,Y,Y,17/03/2026
WONG TAI SIN,564290-0001,FIVE DISTRICTS BUSINESS WELFARE ASSN KG,五邑工商總會幼稚園,Y,Y,Y,17/03/2026
WONG TAI SIN,325880-0001,GRACE METHODIST CHURCH KINDERGARTEN,循道衛理聯合教會主恩堂幼稚園,Y,Y,Y,17/03/2026
WONG TAI SIN,538132-0001,GRACEFIELD EAST KOWLOON CHRISTIAN KG,基督教恩苗東九龍幼稚園,N,N,N,17/03/2026
WONG TAI SIN,325090-0001,HK AND MACAU LUTHERAN CH SHEK ON MEM KG,港澳信義會錫安紀念幼稚園,Y,Y,Y,17/03/2026
WONG TAI SIN,325716-0001,HKTA YUEN YUEN KG (TUNG TAU ESTATE),香港道教聯合會圓玄幼稚園（東頭邨）,Y,Y,Y,17/03/2026
WONG TAI SIN,564451-0001,HKYWCA CHOI WAN NURSERY SCHOOL,香港基督教女青年會彩雲幼兒學校,N,N,N,17/03/2026
WONG TAI SIN,565504-0001,HKYWCA FAITH HOPE NURSERY SCHOOL,香港基督教女青年會信望幼兒學校,Y,Y,Y,17/03/2026
WONG TAI SIN,523429-0001,HO LAP KG (SPONSORED BY SIK SIK YUEN),嗇色園主辦可立幼稚園,P,P,P,17/03/2026
WONG TAI SIN,325643-0001,HO TAK KG (SPONSORED BY SIK SIK YUEN),嗇色園主辦可德幼稚園,Y,Y,Y,17/03/2026
WONG TAI SIN,595144-0001,JONATHAN INNOVATIVE ENGLISH KINDERGARTEN,永樂創新英文幼稚園,Y,Y,Y,17/03/2026
WONG TAI SIN,324833-0001,KAM LAM CATHOLIC KINDERGARTEN,天主教甘霖幼稚園,Y,Y,Y,17/03/2026
WONG TAI SIN,325929-0001,LOK FU RHENISH CHURCH KINDERGARTEN,樂富禮賢會幼稚園,Y,Y,Y,17/03/2026
WONG TAI SIN,564397-0001,LOK FU RHENISH NURSERY,禮賢會樂富幼兒園,N,N,N,17/03/2026
WONG TAI SIN,325317-0001,LOK SIN TONG KU LEE KWOK SIN KG,樂善堂顧李覺鮮幼稚園,Y,Y,Y,17/03/2026
WONG TAI SIN,563617-0001,NEW KLN WOMEN ASSN TSZ WAN SHAN NURSERY,新九龍婦女會慈雲山幼兒園,Y,Y,Y,17/03/2026
WONG TAI SIN,528625-0001,OUR LADY'S KINDERGARTEN,聖母幼稚園,Y,Y,Y,17/03/2026
WONG TAI SIN,563943-0001,PLK FONG TAM YUEN LEUNG TSZ WAN SHAN KG,保良局方譚遠良（慈雲山）幼稚園,Y,Y,N,17/03/2026
WONG TAI SIN,325821-0001,PLK KAM HING KINDERGARTEN,保良局金卿幼稚園,Y,Y,Y,17/03/2026
WONG TAI SIN,563919-0001,PLK TSE WONG PUI KUEN KINDERGARTEN,保良局謝黃沛涓幼稚園,Y,Y,Y,17/03/2026
WONG TAI SIN,563811-0001,PO LEUNG KUK WONG SIU CHING KINDERGARTEN,保良局王少清幼稚園,Y,Y,Y,17/03/2026
WONG TAI SIN,321192-0001,REDEMPTION LUTHERAN KINDERGARTEN,路德會救恩幼稚園,Y,Y,Y,17/03/2026
WONG TAI SIN,564400-0001,SAN PO KONG RHENISH NURSERY,禮賢會新蒲崗幼兒園,Y,Y,N,17/03/2026
WONG TAI SIN,523933-0001,SHARON LUTHERAN CHURCH KG (TSZ OI BR),路德會沙崙堂幼稚園（慈愛分校）,Y,Y,Y,17/03/2026
WONG TAI SIN,216259-0001,SHUN SANG ANGLO-CHINESE KINDERGARTEN,信生中英文幼稚園,Y,Y,Y,17/03/2026
WONG TAI SIN,564370-0001,SIS. IMMACULATE HEART OF MARY WTS KG,聖母潔心會黃大仙幼稚園,N,N,N,17/03/2026
WONG TAI SIN,325546-0001,SKH KINDLY LIGHT CHURCH OR PUI CHEUNG KG,聖公會慈光堂柯佩璋幼稚園,Y,Y,Y,17/03/2026
WONG TAI SIN,564060-0001,TSUNG TSIN MISSION OF HK ON KEUNG N SCH,基督教香港崇真會安強幼兒學校,N,N,N,17/03/2026
WONG TAI SIN,542601-0001,TSZ CHING ESTATE BODHI SIKSA KG,慈正邨菩提幼稚園,Y,Y,Y,17/03/2026
WONG TAI SIN,563552-0001,TWGHS FONG SHIU YEE NURSERY SCH,東華三院方肇彝幼兒園,Y,Y,Y,17/03/2026
WONG TAI SIN,564176-0001,TWGHS KWAN FONG NURSERY SCHOOL,東華三院群芳幼兒園,Y,N,N,17/03/2026
WONG TAI SIN,325414-0002,TWGHS WAI CHEUNG CHI MEMORIAL KG,東華三院韋祥智紀念幼稚園,P,P,P,17/03/2026
KWUN TONG,563455-0001,BGCA HK CHEERLAND KG (KOWLOON BAY),香港小童群益會樂緻幼稚園（九龍灣）,Y,Y,Y,17/03/2026
KWUN TONG,565946-0001,BUDDHIST CHI WAI DAY NURSERY,佛教慈慧幼兒園,Y,Y,Y,17/03/2026
KWUN TONG,323497-0001,BUDDHIST KAM LAI KINDERGARTEN,佛教金麗幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,614114-0001,C & M ALLIANCE ON TAI KG,基督教宣道會安泰幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,216054-0001,CANNAN KG (LAGUNA CITY),迦南幼稚園（麗港城）,P,N,P,17/03/2026
KWUN TONG,565962-0001,CARITAS NURSERY SCHOOL - LEI YUE MUN,明愛鯉魚門幼兒學校,Y,Y,Y,17/03/2026
KWUN TONG,566004-0001,CARITAS NURSERY SCHOOL - YAU TONG,明愛油塘幼兒學校,Y,Y,Y,17/03/2026
KWUN TONG,323250-0001,CCC KEI FAAT KINDERGARTEN,中華基督教會基法幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,324809-0001,CCC KEI WA KINDERGARTEN,中華基督教會基華幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,564664-0001,CFSC CHEERLAND KG,基督教家庭服務中心趣樂幼稚園,P,N,N,17/03/2026
KWUN TONG,610291-0001,CFSC YEOH CHOY WAI  HAAN MEMORIAL KG,基督教家庭服務中心楊蔡慧嫻紀念幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,523895-0001,CHAN MUNG YAN LUTHERAN KINDERGARTEN,路德會陳蒙恩幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,325694-0001,CHOI HA ESTATE KIT SAM KINDERGARTEN,天主教彩霞邨潔心幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,523178-0001,CHR ALLIANCE SMP CHEN LEE WING TSING KG,宣道會秀茂坪陳李詠貞幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,564656-0001,CHRISTIAN FAMILY SERVICE CTR TAK TIN KG,基督教家庭服務中心德田幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,325244-0001,CHRISTIAN LITTLE ANGEL KG RICHLAND GDN,基督教小天使（麗晶）幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,577987-0001,CHRISTIAN LITTLE TREE KINDERGARTEN,基督教小樹苗幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,595837-0001,CHRISTIAN YOUTH CENTRE KG (YAU TONG),基督教中心幼稚園（油塘）,Y,Y,Y,17/03/2026
KWUN TONG,522910-0001,CNEC CHRISTIAN KINDERGARTEN,中華傳道會基石幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,566071-0001,CREATIVE DAY NURSERY (SCENEWAY),啓思幼兒園（匯景）,Y,Y,Y,17/03/2026
KWUN TONG,325864-0001,CREATIVE KINDERGARTEN (SCENEWAY GARDEN),啓思幼稚園（匯景花園）,Y,Y,N,17/03/2026
KWUN TONG,564834-0001,ELCHK  LING ON NURSERY SCHOOL,基督教香港信義會靈安幼兒學校,Y,Y,Y,17/03/2026
KWUN TONG,564575-0001,"ELCHK, KAI YIP NURSERY SCHOOL",基督教香港信義會啟業幼兒學校,Y,Y,Y,17/03/2026
KWUN TONG,323055-0001,FUN CREATIVE KG (KWUN TONG BRANCH),歡樂創意幼稚園（觀塘分校）,Y,Y,Y,17/03/2026
KWUN TONG,565369-0001,GARDEN ESTATE BAPTIST NURSERY SCHOOL,花園大廈浸信會幼兒學校,Y,Y,Y,17/03/2026
KWUN TONG,565415-0001,HKCS KWUN TONG NURSERY SCHOOL,香港基督教服務處觀塘幼兒學校,Y,Y,Y,17/03/2026
KWUN TONG,594130-0001,HKFYG KK CHENG KINDERGARTEN,香港青年協會鄭堅固幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,565210-0001,HKSPC MR & MRS THOMAS TAM NURSERY SCHOOL,香港保護兒童會譚雅士伉儷幼兒學校,Y,Y,Y,17/03/2026
KWUN TONG,605662-0001,HONG KONG CHRISTIAN SERVICE PARIO KG,香港基督教服務處雋樂幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,566160-0001,HONG KONG STUDENT AID SOCIETY PO TAT NUR,香港學生輔助會寶達幼兒園,Y,Y,Y,17/03/2026
KWUN TONG,325791-0001,HONG YING ANGLO-CHINESE KINDERGARTEN,康盈中英文幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,550892-0001,JING JING KINDERGARTEN (SHUN LEE BRANCH),晶晶幼稚園（順利分校）,Y,Y,Y,17/03/2026
KWUN TONG,324248-0001,KWUN TONG BAPTIST CHURCH KINDERGARTEN,官塘浸信會幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,319775-0001,KWUN TONG METHODIST KINDERGARTEN,觀塘循道幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,524034-0002,LAM TIN LING LIANG KINDERGARTEN,藍田靈糧幼稚園,N,Y,Y,17/03/2026
KWUN TONG,548278-0002,LEI YUE MUN METHODIST KINDERGARTEN,鯉魚門循道衞理幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,613509-0001,LIGHT AND LOVE HOME HAPPY KG (ON TAI),光愛樂幼稚園（安泰）,Y,Y,Y,17/03/2026
KWUN TONG,546038-0001,LOK SIN TONG MAN NG WING YEE KG,樂善堂文吳泳沂幼稚園,P,P,P,17/03/2026
KWUN TONG,563609-0001,NEW KLN WOMEN ASSN LOK WAH NURSERY,新九龍婦女會樂華幼兒園,Y,Y,Y,17/03/2026
KWUN TONG,550663-0001,PEACE EVANGELICAL CTR KG (NGAU TAU KOK),平安福音堂幼稚園（牛頭角）,Y,Y,Y,17/03/2026
KWUN TONG,516309-0001,PLK MRS FONG WONG KAM CHUEN KINDERGARTEN,保良局方王錦全幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,563951-0001,PO LEUNG KUK CHENG KWAN HOW YIN KG,保良局鄭關巧妍幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,563790-0001,PO LEUNG KUK KIM HUYNH KINDERGARTEN,保良局黃樹雄幼稚園,P,N,Y,17/03/2026
KWUN TONG,604259-0001,PO LEUNG KUK LEE SHU FOOK KINDERGARTEN,保良局李樹福幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,563935-0001,PO LEUNG KUK LEE SIU CHAN KINDERGARTEN,保良局李筱參幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,563730-0001,PO LEUNG KUK NG PO LING KINDERGARTEN,保良局吳寶玲幼稚園,P,P,P,17/03/2026
KWUN TONG,564036-0001,POK OI HOSPITAL CHAN HSU FONG LAM KG,博愛醫院陳徐鳳蘭幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,566683-0001,POK OI HOSPITAL SY SIOK CHUN KG,博愛醫院施淑鎮幼稚園,Y,P,P,17/03/2026
KWUN TONG,595365-0001,SA CENTALINE CHARITY FUND YAU TONG KG,救世軍中原慈善基金油塘幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,523364-0001,SALVATION ARMY PING TIN KINDERGARTEN,救世軍平田幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,325236-0001,SHARON LUTHERAN CHURCH KINDERGARTEN,路德會沙崙堂幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,324426-0001,SHIN YAT TONG ON YAT KINDERGARTEN,善一堂安逸幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,543390-0001,SHUN TAK FRATERNAL ASSN LEUNG KIT WAH KG,順德聯誼總會梁潔華幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,564486-0001,SHUN TIN RHENISH NURSERY,禮賢會順天幼兒園,Y,Y,Y,17/03/2026
KWUN TONG,564389-0001,SIS. IMMACULATE HEART MARY GOSPEL SMP KG,聖母潔心會福音秀茂坪幼稚園,P,P,P,17/03/2026
KWUN TONG,325937-0001,SKH KINDLY LIGHT CH HOLY CARPENTER KG,聖公會慈光堂聖匠幼稚園,Y,Y,N,17/03/2026
KWUN TONG,607886-0001,SKH KINDLY LIGHT CH HOLY CARPENTER KG BR,聖公會慈光堂聖匠幼稚園（分校）,N,Y,Y,17/03/2026
KWUN TONG,532169-0001,ST ANTONIUS KINDERGARTEN,聖安當幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,319562-0001,ST BARNABAS' CHURCH KINDERGARTEN,聖巴拿巴堂幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,325708-0001,ST JAMES CATHOLIC KINDERGARTEN,天主教聖雅各伯幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,325732-0001,ST PHILIP LUTHERAN CHURCH KINDERGARTEN,路德會聖腓力堂幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,563510-0001,ST VINCENT DE PAUL NURSERY SCHOOL,天主教聖雲先幼兒學校,P,P,P,17/03/2026
KWUN TONG,324736-0001,TELFORD GARDENS KINDERGARTEN,德福幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,563749-0001,TSUNG TSIN MISSION OF HK ON YEE N SCH,基督教香港崇真會安怡幼兒學校,Y,Y,Y,17/03/2026
KWUN TONG,517127-0001,TWGH WONG SEE SUM KINDERGARTEN,東華三院黃士心幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,563536-0001,TWGHS CHAN HAN NURSERY SCHOOL,東華三院陳嫺幼兒園,Y,Y,Y,17/03/2026
KWUN TONG,605530-0001,TWGHS LUCINA LAAM HO KINDERGARTEN,東華三院何藍瓊纓幼稚園,Y,Y,Y,17/03/2026
KWUN TONG,566950-0001,UNITED CHRISTIAN MED SERVICE NURSERY SCH,基督教聯合醫務協會幼兒學校,Y,Y,Y,17/03/2026
KWUN TONG,528366-0001,YUEN YUEN KINDERGARTEN (PING TIN ESTATE),圓玄幼稚園（平田邨）,Y,Y,Y,17/03/2026
TSUEN WAN,601497-0001,611 TREE OF LIFE KINDERGARTEN,６１１生命樹幼稚園,Y,Y,Y,17/03/2026
TSUEN WAN,563846-0001,ALICE LAN&VERA SHEN EDU F GORDON PEI KG,藍如溪盛成皿教育基金邊耀良幼稚園,N,N,N,17/03/2026
TSUEN WAN,159220-0001,ANNUNCIATION CATHOLIC KINDERGARTEN,天主教領報幼稚園,Y,Y,Y,17/03/2026
TSUEN WAN,526010-0001,CANNAN KINDERGARTEN (RIVIERA GARDEN),迦南幼稚園（海濱花園）,Y,Y,Y,17/03/2026
TSUEN WAN,516376-0001,CANNAN KINDERGARTEN (TSUEN WAN),迦南幼稚園﹝荃灣﹞,P,Y,Y,17/03/2026
TSUEN WAN,565628-0001,CASTAR KINDERGARTEN (LEI MUK SHUE),世德幼稚園（梨木樹）,Y,Y,Y,17/03/2026
TSUEN WAN,566403-0001,CCC FUK YAU KINDERGARTEN,中華基督教會福幼幼稚園,Y,Y,Y,17/03/2026
TSUEN WAN,566411-0001,CCC FUK YAU NO. II KINDERGARTEN,中華基督教會福幼第二幼稚園,Y,Y,Y,17/03/2026
TSUEN WAN,598038-0001,CHRISTIAN ADRIANNE KG (BAYVIEW),基督教安得兒幼稚園（灣景）,Y,Y,Y,17/03/2026
TSUEN WAN,575640-0001,CHRISTIAN ADRIANNE KINDERGARTEN,基督教安得兒幼稚園,Y,Y,Y,17/03/2026
TSUEN WAN,152269-0001,CHUEN YUEN CHURCH KINDERGARTEN,全完堂幼稚園,Y,Y,Y,17/03/2026
TSUEN WAN,552747-0001,CREATIVE KINDERGARTEN (MA WAN),啓思幼稚園（馬灣）,Y,Y,Y,17/03/2026
TSUEN WAN,152498-0001,FUK LOY CHUEN KAM CHUEN KINDERGARTEN,福來邨錦全幼稚園,Y,Y,Y,17/03/2026
TSUEN WAN,565296-0001,HKSPC SHAM TSENG NURSERY SCHOOL,香港保護兒童會深井幼兒學校,Y,Y,Y,17/03/2026
TSUEN WAN,157066-0001,HKTA YUEN YUEN KINDERGARTEN,香港道教聯合會圓玄幼稚園,Y,Y,Y,17/03/2026
TSUEN WAN,563293-0001,HKYWCA TSUEN WAN NURSERY SCHOOL,香港基督教女青年會荃灣幼兒學校,N,N,N,17/03/2026
TSUEN WAN,595969-0001,HONG KONG LING LIANG CHURCH TSUEN WAN KG,香港靈糧堂荃灣幼稚園,P,P,P,17/03/2026
TSUEN WAN,156612-0002,MOE KINDERGARTEN,萌兒幼稚園,Y,Y,Y,17/03/2026
TSUEN WAN,152579-0001,MOON LOK KINDERGARTEN,滿樂幼稚園,Y,Y,Y,17/03/2026
TSUEN WAN,231690-0001,PARKVIEW RHINE GARDEN PRE-SCHOOL,栢基海韻幼稚園,Y,Y,Y,17/03/2026
TSUEN WAN,563757-0001,PO LEUNG KUK CHI PUI KINDERGARTEN,保良局志沛幼稚園,Y,Y,Y,17/03/2026
TSUEN WAN,563676-0001,PO LEUNG KUK FONG TAM YUEN LEUNG KG,保良局方譚遠良幼稚園,Y,Y,Y,17/03/2026
TSUEN WAN,562963-0001,SA LEI MUK SHUE NURSERY SCH,救世軍梨木樹幼兒學校,Y,Y,Y,17/03/2026
TSUEN WAN,158550-0001,SA NG KWOK WAI MEMORIAL KINDERGARTEN,救世軍吳國偉紀念幼稚園,Y,Y,Y,17/03/2026
TSUEN WAN,563129-0001,SA TSUEN WAN NURSERY SCH,救世軍荃灣幼兒學校,P,Y,N,17/03/2026
TSUEN WAN,231533-0001,ST MONICA'S ANGLO-CHINESE KG (TSUEN WAN),聖文嘉中英文幼稚園（荃灣）,Y,Y,Y,17/03/2026
TSUEN WAN,566187-0001,ST MONICA'S KINDERGARTEN (TSUEN WAN),聖文嘉幼稚園（荃灣）,N,N,N,17/03/2026
