District,SCRN,School English Name,School Chinese Name,K1 Vacancy Status,K2 Vacancy Status,K3 Vacancy Status,As At Date
TAI PO,150860-0002,TAI PO RHENISH CHURCH KINDERGARTEN,大埔禮賢會幼稚園,Y,Y,Y,17/03/2026
TAI PO,150860-0003,TAI PO RHENISH CHURCH KINDERGARTEN,大埔禮賢會幼稚園,Y,Y,Y,17/03/2026
TAI PO,564087-0001,TSUNG TSIN MISSION OF HK ON YAN NUR SCH,基督教香港崇真會安仁幼兒學校,N,N,N,17/03/2026
TAI PO,157309-0001,TWGH HUNG WONG KAR GEE KINDERGARTEN,東華三院洪王家琪幼稚園,Y,Y,Y,17/03/2026
TAI PO,563560-0001,TWGHS FONG LAI MING NURSERY SCHOOL,東華三院方麗明幼兒園,Y,N,N,17/03/2026
TAI PO,621366-0001,WWCWDHK DAVID WOO MEM ANGLO-CHINESE KG,香港西區婦女福利會何瑞棠紀念中英文幼稚園,Y,Y,Y,17/03/2026
TAI PO,564281-0001,YAN OI TONG MRS AUGUSTA CHEUNG KG,仁愛堂張慕良夫人幼稚園,Y,Y,Y,17/03/2026
SAI KUNG,158739-0001,BAPT CONVENTION OF HK RCHK NORTHWEST KG,香港浸信會聯會香港西北扶輪社幼稚園,Y,Y,Y,17/03/2026
SAI KUNG,231363-0001,BEVERLY ANGLO-CHINESE KINDERGARTEN,比華利中英文幼稚園,Y,Y,Y,17/03/2026
SAI KUNG,565458-0001,BGCAHK CHEERLAND KG (TSEUNG KWAN O),香港小童群益會樂緻幼稚園（將軍澳）,N,N,N,17/03/2026
SAI KUNG,159255-0001,C&MA CH UNION TSEUNG KWAN O ALLIANCE KG,基督教宣道會香港區聯會將軍澳宣道幼稚園,Y,Y,Y,17/03/2026
SAI KUNG,524026-0001,C&MA CHURCH VERBENA KINDERGARTEN,基督教宣道會茵怡幼稚園,Y,Y,Y,17/03/2026
SAI KUNG,619787-0001,CANNAN KINDERGARTEN (TSEUNG KWAN O),迦南幼稚園（將軍澳）,N,P,P,17/03/2026
SAI KUNG,565997-0001,CARITAS NURSERY SCHOOL - TSUI LAM,明愛翠林幼兒學校,Y,Y,Y,17/03/2026
SAI KUNG,528609-0001,CCCHK CHI TO CH KEI POK KG (TKO),中華基督教會香港志道堂基博幼稚園（將軍澳）,Y,Y,Y,17/03/2026
SAI KUNG,563480-0001,EFCC - AGC ABUNDANT GRACE NUR SCH,中國基督教播道會厚恩堂厚恩幼兒學校,Y,Y,Y,17/03/2026
SAI KUNG,563340-0001,EFCC - VERBENA NURSERY SCH,中國基督教播道會茵怡幼兒學校,N,N,N,17/03/2026
SAI KUNG,564818-0001,ELCHK  KIN MING NURSERY SCHOOL,基督教香港信義會健明幼兒學校,Y,Y,Y,17/03/2026
SAI KUNG,533351-0001,ELCHK TSEUNG KWAN O KINDERGARTEN,基督教香港信義會將軍澳幼稚園,P,P,P,17/03/2026
SAI KUNG,592080-0001,FUN CREATIVE KINDERGARTEN,歡樂創意幼稚園,N,N,Y,17/03/2026
SAI KUNG,519634-0001,HK CHINESE CHURCH OF CHRIST THE LIGHT KG,香港華人基督會煜明幼稚園,Y,Y,Y,17/03/2026
SAI KUNG,563269-0001,HKSKH ST. SIMON'S SAI KUNG NURSERY SCH,香港聖公會聖西門西貢幼兒學校,P,N,N,17/03/2026
SAI KUNG,565008-0001,HKSPC OCEAN SHORES NURSERY SCHOOL,香港保護兒童會維景灣幼兒學校,N,N,N,17/03/2026
SAI KUNG,565270-0001,HKSPC SZE WU SHU MIN NURSERY SCHOOL,香港保護兒童會施吳淑敏幼兒學校,Y,Y,Y,17/03/2026
SAI KUNG,525758-0001,HO CHING KG (SPONSORED BY SIK SIK YUEN),嗇色園主辦可正幼稚園,Y,Y,Y,17/03/2026
SAI KUNG,158771-0003,JUNK BAY KINGSLAND KINDERGARTEN,將軍澳英皇幼稚園,Y,Y,Y,17/03/2026
SAI KUNG,565768-0001,KING LAM LUTHERAN DAY NURSERY,路德會景林幼兒園,Y,Y,Y,17/03/2026
SAI KUNG,542830-0001,KWUN TONG BAPTIST CHURCH CHOI MING KG,觀塘浸信會彩明幼稚園,Y,Y,Y,17/03/2026
SAI KUNG,554901-0001,LOCK TAO CHRISTIAN KINDERGARTEN,基督教樂道幼稚園,Y,Y,Y,17/03/2026
SAI KUNG,616311-0001,MAPLE BEAR CANADIAN INTL KG (LOHAS),楓葉小熊加拿大國際幼稚園（康城）,Y,Y,Y,17/03/2026
SAI KUNG,563498-0001,MISSION COVENANT CH SISTER ANNIE'S KG,基督教聖約教會司務道幼稚園,Y,Y,Y,17/03/2026
SAI KUNG,530735-0001,NTW & JWA LTD LEUNG SING TAK ANG-CHI KG,新界婦孺福利會梁省德中英文幼稚園,Y,Y,Y,17/03/2026
SAI KUNG,566586-0001,PENTECOSTAL CH OF HK TSEUNG KWAN O NS,竹園區神召會將軍澳康樂幼兒學校,Y,Y,Y,17/03/2026
SAI KUNG,159204-0001,PLK FONG WONG WOON TAI KINDERGARTEN,保良局方王換娣幼稚園,P,P,P,17/03/2026
SAI KUNG,563978-0001,PO LEUNG KUK CHOI KAI YAU KG,保良局蔡繼有幼稚園,Y,Y,Y,17/03/2026
SAI KUNG,158232-0002,PO LEUNG KUK YIP NG BUN BUN KINDERGARTEN,保良局葉吳彬彬幼稚園,Y,Y,Y,17/03/2026
SAI KUNG,159239-0001,SA HING YAN KINDERGARTEN,救世軍慶恩幼稚園,P,Y,Y,17/03/2026
SAI KUNG,563072-0001,SA MING TAK NURSERY SCH,救世軍明德幼兒學校,N,N,N,17/03/2026
SAI KUNG,153036-0001,SAI KUNG LOK-YUK KINDERGARTEN,西貢樂育幼稚園,Y,Y,Y,17/03/2026
SAI KUNG,559768-0001,ST ANDREW'S CATHOLIC KINDERGARTEN,天主教聖安德肋幼稚園,Y,Y,Y,17/03/2026
SAI KUNG,324957-0002,STEWARDS POOI YAN KINDERGARTEN,香港神託會培恩幼稚園,Y,Y,Y,17/03/2026
SAI KUNG,525731-0001,SUN ISLAND ENGLISH KG (SAI KUNG),太陽島英文幼稚園（西貢分校）,Y,Y,Y,17/03/2026
SAI KUNG,530417-0001,TSEUNG KWAN O METHODIST KINDERGARTEN,將軍澳循道衛理幼稚園,Y,Y,Y,17/03/2026
SAI KUNG,534153-0001,TSING YI TRADE ASSN TSEUNG KWAN O KG,青衣商會將軍澳幼稚園,N,N,N,17/03/2026
SAI KUNG,158470-0001,TSUI LAM ESTATE BAPTIST KINDERGARTEN,翠林邨浸信會幼稚園,Y,Y,Y,17/03/2026
SAI KUNG,158526-0001,TSUNG TSIN MISSION GRACEFUL KINDERGARTEN,崇真會美善幼稚園,Y,Y,Y,17/03/2026
SAI KUNG,559385-0001,TWGHS LIONS CLUB OF METROPOLITAN H K KG,東華三院香港華都獅子會幼稚園,Y,Y,P,17/03/2026
SAI KUNG,158984-0001,TWGHS NICKON KG,東華三院力勤幼稚園,P,P,P,17/03/2026
SAI KUNG,540811-0001,YAN OI TONG DAN YANG WING MAN KG,仁愛堂鄧楊詠曼幼稚園,Y,Y,Y,17/03/2026
SHA TIN,563838-0001,ALICE LAN&VERA SHEN EDU F DELIA PEI KG,藍如溪盛成皿教育基金邊陳之娟幼稚園,Y,Y,Y,17/03/2026
SHA TIN,543861-0001,ASSEMBLY OF GOD UNION CHURCH KG,基督教神召會合一堂幼稚園,Y,Y,Y,17/03/2026
SHA TIN,564923-0001,BAPTIST CONVENTION OF HK LEE ON NURSERY,香港浸信會聯會利安幼兒園,Y,Y,Y,17/03/2026
SHA TIN,565857-0001,C & MA SHATIN NURSERY SCH,基督教宣道會沙田幼兒學校,Y,Y,Y,17/03/2026
SHA TIN,524328-0001,C&MA JOYFUL PEACE KINDERGARTEN,基督教宣道會頌安幼稚園,Y,Y,Y,17/03/2026
SHA TIN,565970-0001,CARITAS NURSERY SCHOOL - SHATIN,明愛沙田幼兒學校,Y,Y,Y,17/03/2026
SHA TIN,522678-0001,CHR LITTLE ANGEL KG (KAM FUNG COURT),基督教小天使（錦豐）幼稚園,Y,Y,Y,17/03/2026
SHA TIN,537578-0001,CREATIVE KINDERGARTEN (CASTELLO),啓思幼稚園（帝堡城）,Y,Y,N,17/03/2026
SHA TIN,158887-0001,CUHKFAA THOMAS CHEUNG KINDERGARTEN,香港中文大學校友會聯會張煊昌幼稚園,Y,P,P,17/03/2026
SHA TIN,564826-0001,ELCHK  CHUNG ON NURSERY SCHOOL,基督教香港信義會頌安幼兒學校,Y,Y,Y,17/03/2026
SHA TIN,151203-0001,ELCHK SHATIN LUTHERAN KINDERGARTEN,基督教香港信義會沙田信義幼稚園,Y,Y,Y,17/03/2026
SHA TIN,564559-0001,"ELCHK, OI LUN NURSERY SCHOOL",基督教香港信義會愛鄰幼兒學校,Y,Y,Y,17/03/2026
SHA TIN,563862-0001,EMMANUEL CHURCH SHATIN NURSERY SCHOOL,沙田靈光幼兒學校,Y,Y,Y,17/03/2026
SHA TIN,563854-0001,FM CHURCH BRADBURY CHUN LEI NURSERY SCH,循理會白普理循理幼兒學校,Y,Y,Y,17/03/2026
SHA TIN,565431-0001,HENG ON BAPTIST NURSERY SCHOOL,恒安浸信會幼兒學校,Y,Y,Y,17/03/2026
SHA TIN,563900-0001,HK & KKWA TING SUN HUI CHIU KG,港九街坊婦女會丁孫慧珠幼稚園,N,N,N,17/03/2026
SHA TIN,157597-0001,HK&KKFWA SUN FONG CHUNG KG,港九街坊婦女會孫方中幼稚園,Y,Y,Y,17/03/2026
SHA TIN,564320-0001,HK&KKWA SUN FONG CHUNG KG (SUI WO COURT),港九街坊婦女會孫方中幼稚園（穗禾苑）,P,P,N,17/03/2026
SHA TIN,614106-0001,HKCS PARIO KINDERGARTEN (SHATIN),香港基督教服務處雋樂幼稚園（沙田）,Y,Y,Y,17/03/2026
SHA TIN,565261-0001,HKSPC THE JOCKEY CLUB HOK SAM NUR SCH,香港保護兒童會賽馬會學心幼兒學校,Y,N,Y,17/03/2026
SHA TIN,563234-0001,HKYWCA LUNG HANG NURSERY SCHOOL,香港基督教女青年會隆亨幼兒學校,P,N,N,17/03/2026
SHA TIN,524441-0001,HOP YAT CHURCH SHIN KA CHUEN MEM KG,合一堂單家傳紀念幼稚園,Y,Y,Y,17/03/2026
SHA TIN,151009-0001,IMMACULATE HEART OF MARY KINDERGARTEN,聖母無玷聖心幼稚園,P,P,P,17/03/2026
SHA TIN,158569-0001,KOWLOON CITY BAPTIST CHURCH HAY NIEN KG,九龍城浸信會禧年幼稚園,N,N,N,17/03/2026
SHA TIN,158704-0001,KWONG LAM BAPTIST LUI KWOK PAT FONG KG,廣林浸信會呂郭碧鳳幼稚園,Y,Y,Y,17/03/2026
SHA TIN,621986-0001,LIGHT AND LOVE HOME HAPPY KG (HIN KENG),光愛樂幼稚園（顯徑）,Y,Y,Y,17/03/2026
SHA TIN,324884-0002,LOK SIN TONG LEE YIN YEE KINDERGARTEN,樂善堂李賢義幼稚園,P,P,Y,17/03/2026
SHA TIN,157864-0001,LOK SIN TONG STEPHEN LEUNG KINDERGARTEN,樂善堂梁泳釗幼稚園,Y,Y,Y,17/03/2026
SHA TIN,520071-0001,MA ON SHAN LING LIANG KINDERGARTEN,馬鞍山靈糧幼稚園,Y,Y,Y,17/03/2026
SHA TIN,563625-0001,NEW KLN WOMEN ASSN SHA KOK NURSERY,新九龍婦女會沙角幼兒園,P,P,P,17/03/2026
SHA TIN,563633-0001,NEW KLN WOMEN ASSN SUN CHUI NURSERY,新九龍婦女會新翠幼兒園,Y,Y,Y,17/03/2026
SHA TIN,566314-0001,NTW&JWA L POK HONG NURSERY SCHOOL,新界婦孺福利會博康幼兒學校,P,N,N,17/03/2026
SHA TIN,158429-0001,PEACE EVANGELICAL CENTRE KINDERGARTEN,平安福音堂幼稚園,Y,Y,Y,17/03/2026
SHA TIN,158240-0001,PLK FUNG LEUNG KIT MEMORIAL KINDERGARTEN,保良局馮梁結紀念幼稚園,Y,Y,Y,17/03/2026
SHA TIN,156779-0001,PLK NG TOR TAI KINDERGARTEN,保良局吳多泰幼稚園,Y,Y,Y,17/03/2026
SHA TIN,565326-0001,PO LEUNG KUK TONG CHOR NAM (LEK YUEN) KG,保良局唐楚男（瀝源）幼稚園,Y,Y,Y,17/03/2026
SHA TIN,562947-0001,SA JAT MIN NURSERY SCH,救世軍乙明幼兒學校,N,N,N,17/03/2026
SHA TIN,156973-0001,SA TIN KA PING KINDERGARTEN,救世軍田家炳幼稚園,Y,Y,Y,17/03/2026
SHA TIN,563153-0001,SA WO CHE NURSERY SCH,救世軍禾輋幼兒學校,N,N,N,17/03/2026
SHA TIN,156493-0001,SKH HOLY SPIRIT CHURCH KG,聖公會靈風堂幼稚園,Y,Y,Y,17/03/2026
SHA TIN,159212-0001,STEWARDS POOI CHUN KINDERGARTEN,香港神託會培真幼稚園,Y,Y,Y,17/03/2026
SHA TIN,158160-0001,STFA LEUNG LEE SAU YU (SHATIN) KG,順德聯誼總會梁李秀娛沙田幼稚園,P,P,P,17/03/2026
SHA TIN,576743-0001,THE SAL ARMY CENTALINE CHARITY FUND KG,救世軍中原慈善基金幼稚園,Y,Y,Y,17/03/2026
SHA TIN,605620-0001,THE SALVATION ARMY SHUI CHUEN O KG,救世軍水泉澳幼稚園,Y,Y,Y,17/03/2026
SHA TIN,564753-0002,TRUTH BAPTIST CHURCH GLORY NURSERY,真理浸信會榮光幼兒園,Y,Y,N,17/03/2026
SHA TIN,158259-0001,TRUTH BAPTIST CHURCH KINDERGARTEN,真理浸信會幼稚園,Y,Y,Y,17/03/2026
SHA TIN,158860-0001,TRUTH BAPTIST CHURCH PICTORIAL KG,真理浸信會碧濤幼稚園,N,Y,Y,17/03/2026
SHA TIN,540579-0001,TSUNG TSIN MISS GRACEFUL KG (MA ON SHAN),崇真會美善幼稚園（馬鞍山）,Y,Y,Y,17/03/2026
SHA TIN,609137-0001,TTMHK ON CHUNG KG,基督教香港崇真會安頌幼稚園,Y,Y,Y,17/03/2026
SHA TIN,157384-0001,TWGH CHAN KING HAR KINDERGARTEN,東華三院馬陳景霞幼稚園,Y,Y,Y,17/03/2026
SHA TIN,156752-0001,TWGH LIU YAN TAK MEMORIAL KINDERGARTEN,東華三院廖恩德紀念幼稚園,Y,Y,Y,17/03/2026
SHA TIN,157511-0001,TWGH LUI FUNG FAUNG MEMORIAL KG,東華三院呂馮鳳紀念幼稚園,Y,Y,Y,17/03/2026
SHA TIN,564109-0001,TWGHS LIONS CLUB SOUTH KLN NURSERY SCH,東華三院南九龍獅子會幼兒園,Y,Y,Y,17/03/2026
SHA TIN,618594-0001,YAN OI TONG MRS CHENG TING KONG KINDERGA,仁愛堂鄭丁港夫人幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,540498-0001,ANANI KINDERGARTEN,主蔭幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,510726-0001,ASBURY METHODIST KINDERGARTEN,循道衛理聯合教會亞斯理幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,559962-0001,CCC CHUEN YUEN KINDERGARTEN,中華基督教會全完幼稚園,N,Y,Y,17/03/2026
KWAI TSING,565733-0001,CHEUNG CHING LUTHERAN DAY NURSERY,路德會長青幼兒園,Y,Y,Y,17/03/2026
KWAI TSING,564680-0001,CHINESE YMCA KWAI CHUNG KINDERGARTEN,中華基督教青年會葵涌幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,231240-0001,CHOICE ENGLISH SCH & KG (TSING YI BR),卓思英文學校暨幼稚園（青怡分校）,Y,Y,Y,17/03/2026
KWAI TSING,534226-0001,CREATIVE KINDERGARTEN (TSING YI),啓思幼稚園（青衣）,Y,Y,Y,17/03/2026
KWAI TSING,565571-0001,ELCHK  GRACE NURSERY SCHOOL,基督教香港信義會天恩幼兒學校,P,P,P,17/03/2026
KWAI TSING,564842-0001,ELCHK  LING KUNG NURSERY SCHOOL,基督教香港信義會靈工幼兒學校,Y,Y,Y,17/03/2026
KWAI TSING,156272-0001,FU YIU KINDERGARTEN,富瑤幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,157643-0001,GREENVILLE ANGLO-CHINESE KINDERGARTEN,嘉言中英文幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,612561-0001,HEEP HONG SOCIETY SFA HEALTHY KIDS KG,協康會上海總會康苗幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,159000-0001,HK SKH THE CHURCH OF THE EPIPHANY KG,香港聖公會基督顯現堂幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,623598-0001,HK YNG WOMEN'S CHRISTIAN ASST TY NUR SCH,香港基督教女青年會青衣幼兒學校,N,N,N,17/03/2026
KWAI TSING,564893-0001,HKSKH LADY MACLEHOSE CTR (SHEK YAM) KG,香港聖公會麥理浩夫人中心〈石蔭〉幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,564907-0001,HKSKH LADY MACLEHOSE CTR KG,香港聖公會麥理浩夫人中心幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,158461-0001,ISLAMIC POK OI KINDERGARTEN,伊斯蘭博愛幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,155560-0001,KWAI CHUNG BAPTIST CHURCH KINDERGARTEN,葵涌浸信會幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,528153-0001,KWAI SHING RHENISH CHURCH KINDERGARTEN,葵盛禮賢會幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,564630-0001,LAI KING RHENISH NURSERY,禮賢會荔景幼兒園,Y,Y,Y,17/03/2026
KWAI TSING,156205-0001,LOK KING KINDERGARTEN,樂景幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,565709-0001,MARITIME SQUARE LUTHERAN DAY NURSERY,路德會青衣城幼兒園,Y,Y,Y,17/03/2026
KWAI TSING,566322-0001,NTW&JWA L CHEUNG FAT NURSERY SCHOOL,新界婦孺福利會長發幼兒學校,Y,Y,Y,17/03/2026
KWAI TSING,546127-0001,PEACE EVANGELICAL CENTRE KG (TSING YI),平安福音堂幼稚園（青衣）,Y,Y,Y,17/03/2026
KWAI TSING,158488-0001,PLK FIONA CHEUNG SUM YU KINDERGARTEN,保良局張心瑜幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,566675-0001,PLK LUI CHAN WAI CHING (KWAI FONG) KG,保良局呂陳慧貞（葵芳）幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,563994-0001,PLK MR & MRS CHARLIE LEE KINDERGARTEN,保良局李俊駒伉儷幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,158453-0001,PLK MRS CHAO KING LIN KINDERGARTEN,保良局曹金霖夫人幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,542768-0001,PLK MRS TAM WAH CHING KINDERGARTEN,保良局譚華正夫人幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,157813-0001,PLK TIN KA PING KINDERGARTEN,保良局田家炳幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,157856-0001,ROCK OF AGES LUTHERAN KINDERGARTEN,路德會恩石幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,157678-0001,SA FU KEUNG KINDERGARTEN,救世軍富強幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,563099-0001,SA TAI WO HAU NURSERY SCH,救世軍大窩口幼兒學校,Y,Y,Y,17/03/2026
KWAI TSING,582530-0001,SIN CHING KINDERGARTEN,善正幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,526665-0001,SKH CROWN OF THORNS CHURCH KWAI CHUNG KG,聖公會荊冕堂葵涌幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,153087-0001,SKH CROWN OF THORNS CHURCH SADICK KG,聖公會荊冕堂士德幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,568104-0001,SKH ST CHRISTOPHER'S NUR (KWAI CHUNG),聖公會聖基道幼兒園（葵涌）,P,N,N,17/03/2026
KWAI TSING,156841-0001,ST STEPHEN'S CATHOLIC KINDERGARTEN,聖斯德望天主教幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,532533-0001,ST THOMAS' CATHOLIC KINDERGARTEN,天主教聖多默幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,231347-0001,SUN ISLAND ENGLISH KG (KWAI HING BRANCH),太陽島英文幼稚園（葵興分校）,Y,Y,Y,17/03/2026
KWAI TSING,519103-0001,TIVOLI ANGLO-CHINESE KINDERGARTEN,宏福中英文幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,623474-0001,TIVOLI KINDERGARTEN (CHING FU),宏福幼稚園（青富）,Y,Y,Y,17/03/2026
KWAI TSING,549355-0001,TSUEN WAN BAPTIST CHURCH SHEK LEI KG,荃浸石籬幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,159026-0001,TSUEN WAN TRADE ASSN CHU CHEONG KG,荃灣商會朱昌幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,518077-0001,TSUEN WAN TRADE ASSN YAU KIN FUNG KG,荃灣商會邱健峰幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,158640-0001,TSUEN WAN TRADE ASSOCIATION CHUNG LOI KG,荃灣商會鍾來幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,542547-0001,TWGH WONG WU LAI MING KINDERGARTEN,東華三院王胡麗明幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,564141-0001,TWGHS LIONS CLUB THE PEAK HK NUR SCH,東華三院香港鑪峯獅子會幼兒園,Y,Y,Y,17/03/2026
KWAI TSING,565903-0001,W.F.B. MANJUSRI NURSERY SCH,世佛會文殊幼兒學校,Y,Y,Y,17/03/2026
KWAI TSING,563374-0001,YAN CHAI HOSPITAL JU CHING CHU KG,仁濟醫院裘錦秋幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,563404-0001,YAN CHAI HOSPITAL TUNG PAK YING KG,仁濟醫院董伯英幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,159093-0001,YAN OI TONG PANG HUNG CHEUNG KG,仁愛堂彭鴻樟幼稚園,Y,Y,Y,17/03/2026
KWAI TSING,563382-0001,YCH ZONTA CLUB OF KOWLOON KINDERGARTEN,仁濟醫院九龍崇德社幼稚園,Y,Y,N,17/03/2026
ISLANDS,517518-0001,BUDDHIST CHEUNG MUI KWAI KINDERGARTEN,佛教張梅桂幼稚園,Y,Y,Y,17/03/2026
ISLANDS,556220-0001,BUDDHIST CHUN YUE LEE KAM ZI MEMORIAL KG,佛教真如李琴芝紀念幼稚園,P,P,N,17/03/2026
ISLANDS,155233-0002,C&MA TAI O KINDERGARTEN,基督教宣道會大澳幼稚園,Y,Y,Y,17/03/2026
ISLANDS,151424-0001,CCC CHEUNG CHAU CHURCH KAM KONG KG,中華基督教會長洲堂錦江幼稚園,Y,Y,Y,17/03/2026
ISLANDS,565741-0001,CHAN EN MEI LUTHERAN DAY NURSERY,路德會陳恩美幼兒園,Y,Y,Y,17/03/2026
ISLANDS,152978-0001,CHEUNG CHAU SACRED HEART KINDERGARTEN,長洲聖心幼稚園,Y,Y,Y,17/03/2026
ISLANDS,520144-0002,CHING CHUNG YU NGA KINDERGARTEN,青松裕雅幼稚園,P,Y,Y,17/03/2026
ISLANDS,554251-0001,CHR THE FAITH HOPE L CH YAT TUNG KG,基督徒信望愛堂逸東幼稚園,Y,Y,Y,17/03/2026
ISLANDS,524123-0001,CPC GREEN PASTURE KG,金巴崙長老會青草地幼稚園,Y,Y,Y,17/03/2026
ISLANDS,566926-0001,HKSKH TUNG CHUNG NURSERY SCHOOL,香港聖公會東涌幼兒學校,N,N,N,17/03/2026
ISLANDS,615080-0001,HKYWCA HELEN LEE KINDERGARTEN,香港基督教女青年會趣沂幼稚園,Y,Y,Y,17/03/2026
ISLANDS,527211-0001,KWOK MAN SCHOOL ANGLO-CHINESE KG,國民學校中英文幼稚園,Y,Y,Y,17/03/2026
ISLANDS,155705-0001,LICK HANG KINDERGARTEN,力行幼稚園,N,Y,Y,17/03/2026
ISLANDS,155705-0002,LICK HANG KINDERGARTEN,力行幼稚園,N,N,N,17/03/2026
ISLANDS,565717-0001,LUI KWAN POK LUTHERAN DAY NURSERY,路德會呂君博幼兒園,Y,Y,Y,17/03/2026
ISLANDS,566381-0001,NAAC TUNG CHUNG DAY NURSERY,鄰舍輔導會東涌幼兒園,Y,Y,Y,17/03/2026
ISLANDS,575011-0001,NAAC TUNG YAN DAY NURSERY,鄰舍輔導會東欣幼兒園,N,N,N,17/03/2026
ISLANDS,156698-0001,NAM YING KINDERGARTEN,南英幼稚園,Y,P,Y,17/03/2026
ISLANDS,151564-0001,OUR LADY OF LOURDES CATHOLIC KG,天主教露德聖母幼稚園,Y,Y,Y,17/03/2026
ISLANDS,523445-0002,PLK CHEUNG POON MEI YEE KINDERGARTEN,保良局張潘美意幼稚園,P,P,N,17/03/2026
ISLANDS,556122-0001,SHIN YAT TONG YAT TUNG KINDERGARTEN,善一堂逸東幼稚園,Y,Y,Y,17/03/2026
ISLANDS,555576-0001,SUN ISLAND KINDERGARTEN (TUNG CHUNG BR),太陽島幼稚園（東涌分校）,P,N,N,17/03/2026
ISLANDS,612936-0001,THE SALVATION ARMY ROSITA YUEN KG,救世軍源林潔和幼稚園,Y,Y,Y,17/03/2026
ISLANDS,542296-0001,TUNG CHUNG BAPTIST KINDERGARTEN,東涌浸信會幼稚園,Y,Y,Y,17/03/2026
ISLANDS,543004-0001,TUNG CHUNG CATHOLIC KINDERGATEN,東涌天主教幼稚園,Y,Y,Y,17/03/2026
